Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-speed,aqi_value,aqi_category
2018-12-31,2.5,70.0,,,183.0,1023.0,8.0,1.5,183.0,Unhealthy
2019-01-01,2.0,70.0,,,181.0,1023.0,8.0,1.5,181.0,Unhealthy
2019-01-02,2.5,70.0,,,174.0,1023.0,7.5,1.5,174.0,Unhealthy
2019-01-03,2.5,66.0,,,163.0,1022.0,8.0,1.8,163.0,Unhealthy
2019-01-04,2.0,72.5,,,163.0,1022.5,6.5,1.5,163.0,Unhealthy
2019-01-05,3.0,75.0,,,176.0,1023.0,7.0,1.5,176.0,Unhealthy
2019-01-06,3.0,70.0,,,191.0,1022.0,8.5,1.5,191.0,Unhealthy
2019-01-07,4.0,78.0,,,192.0,1021.0,8.0,2.0,192.0,Unhealthy
2019-01-08,2.0,65.5,,,167.0,1018.0,8.5,1.5,167.0,Unhealthy
2019-01-09,4.0,78.0,,,169.0,1018.0,9.0,1.5,169.0,Unhealthy
2019-01-10,5.0,81.0,,,173.0,1019.0,9.0,1.8,173.0,Unhealthy
2019-01-11,6.0,84.0,,,178.0,1021.0,9.5,1.5,178.0,Unhealthy
2019-01-12,5.0,81.0,,,189.0,1021.0,8.0,1.5,189.0,Unhealthy
2019-01-13,4.5,78.5,,,181.0,1021.0,8.5,1.5,181.0,Unhealthy
2019-01-14,4.0,76.0,,,174.0,1018.0,8.0,1.5,174.0,Unhealthy
2019-01-15,3.5,76.0,,,173.0,1018.5,8.0,1.5,173.0,Unhealthy
2019-01-16,5.0,78.5,,,173.0,1021.0,9.0,1.5,173.0,Unhealthy
2019-01-17,4.5,81.5,,,180.0,1019.0,8.0,1.2,180.0,Unhealthy
2019-01-18,5.5,81.5,,,175.0,1019.0,8.0,1.5,175.0,Unhealthy
2019-01-19,5.0,81.0,,,169.0,1019.5,9.0,1.5,169.0,Unhealthy
2019-01-20,5.0,76.0,,,168.0,1020.0,9.0,1.5,168.0,Unhealthy
2019-01-21,5.0,73.5,,,176.0,1020.0,10.5,1.5,176.0,Unhealthy
2019-01-22,6.0,64.0,,,173.0,1021.0,13.0,1.5,173.0,Unhealthy
2019-01-23,8.0,93.0,,,107.0,1022.0,9.0,2.0,107.0,Unhealthy for Sensitive Groups
